"player's name","total points","total rebounds","assists","steals","blocks","turnovers","games played","salary","missed field goals","missed free throws","efficiency index"
"Bobby Portis",7.03225806451613,5.43548387096774,0.838709677419355,0.403225806451613,0.354838709677419,-0.870967741935484,62,1391160,-4.03225806451613,-0.290322580645161,6.59250003798252
"Nikola Mirotic",11.7727272727273,5.48484848484848,1.51515151515152,0.878787878787879,0.696969696969697,-1.54545454545455,66,5543725,-5.46969696969697,-0.53030303030303,10.1792359691187
"Taj Gibson",8.58904109589041,6.9041095890411,1.45205479452055,0.643835616438356,1.05479452054795,-1.06849315068493,73,8500000,-3.24657534246575,-0.616438356164384,8.80753002501875
"Marvin Williams",11.7037037037037,6.4320987654321,1.35802469135802,0.716049382716049,0.950617283950617,-0.765432098765432,81,7e+06,-5.04938271604938,-0.296296296296296,10.6693499156661
"Spencer Hawes",5.96491228070175,4.28070175438596,1.91228070175439,0.385964912280702,0.473684210526316,-1.01754385964912,57,5543725,-3.19298245614035,-0.192982456140351,5.68102022634995
"Tyler Hansbrough",2.36363636363636,2.02272727272727,0.181818181818182,0.272727272727273,0.159090909090909,-0.272727272727273,44,1185784,-0.886363636363636,-0.613636363636364,2.42964854197124
"Kevin Love",16.025974025974,9.8961038961039,2.41558441558442,0.753246753246753,0.532467532467532,-1.84415584415584,77,19500000,-7.37662337662338,-0.727272727272727,14.7965531038445
"Tristan Thompson",7.84146341463415,9,0.75609756097561,0.463414634146341,0.621951219512195,-0.74390243902439,82,14260870,-2.10975609756098,-1.13414634146341,9.2374280837876
"Charlie Villanueva",5.14516129032258,2.45161290322581,0.387096774193548,0.290322580645161,0.241935483870968,-0.5,62,1499187,-3.25806451612903,-0.032258064516129,4.14769097147731
"Dirk Nowitzki",18.2933333333333,6.52,1.76,0.693333333333333,0.693333333333333,-1.12,75,8333334,-8.18666666666667,-0.4,15.19720170483
"Dwight Powell",5.78260869565217,3.95652173913043,0.63768115942029,0.521739130434783,0.347826086956522,-0.579710144927536,69,845059,-2.17391304347826,-0.536231884057971,5.63646876652581
"Darrell Arthur",7.52857142857143,4.18571428571429,1.37142857142857,0.757142857142857,0.685714285714286,-0.942857142857143,70,2814000,-3.82857142857143,-0.185714285714286,6.71642875364366
"Kenneth Faried",12.4626865671642,8.67164179104478,1.17910447761194,0.477611940298507,0.895522388059702,-1.35820895522388,67,11235955,-4.13432835820895,-1.28358208955224,12.3358906418205
"Anthony Tolliver",5.31944444444444,3.18055555555556,0.722222222222222,0.361111111111111,0.222222222222222,-0.388888888888889,72,3e+06,-2.83333333333333,-0.25,4.75314110423934
"Justin Harper",2.6,0.2,0,0.2,0,-0.4,5,99418,-1.2,-0.2,1.82785536539011
"Tobias Harris",16.5555555555556,6.22222222222222,2.59259259259259,0.666666666666667,0.444444444444444,-1.11111111111111,27,1.6e+07,-6.74074074074074,-0.296296296296296,14.2116406095817
"Draymond Green",13.962962962963,9.49382716049383,7.38271604938272,1.46913580246914,1.39506172839506,-3.19753086419753,81,14300000,-5.16049382716049,-1.23456790123457,14.199369590303
"James Michael McAdoo",2.85365853658537,1.41463414634146,0.414634146341463,0.24390243902439,0.195121951219512,-0.390243902439024,41,845059,-0.951219512195122,-0.560975609756098,2.62043119907971
"Kevon Looney",1.8,2,0,0,0,-0.2,5,1131960,-0.6,0,2.03240194803049
"Donatas Motiejunas",6.21621621621622,2.94594594594595,1.10810810810811,0.459459459459459,0.135135135135135,-1.18918918918919,37,2288205,-3.10810810810811,-0.513513513513513,5.30485951400033
"Josh Smith",6.56521739130435,2.91304347826087,2.08695652173913,0.695652173913043,0.565217391304348,-1.56521739130435,23,1499000,-4.82608695652174,-0.565217391304348,5.09914964272419
"Montrezl Harrell",3.58974358974359,1.66666666666667,0.435897435897436,0.282051282051282,0.282051282051282,-0.435897435897436,39,1e+06,-0.82051282051282,-0.564102564102564,3.38638884121279
"Terrence Jones",8.68,4.22,0.82,0.46,0.78,-0.98,50,2489530,-4.02,-0.78,7.54031172814579
"Lavoy Allen",5.41772151898734,5.36708860759494,0.962025316455696,0.329113924050633,0.531645569620253,-0.873417721518987,79,3700000,-2.26582278481013,-0.341772151898734,5.83234186538683
"Rakeem Christmas",4,1,0,0,0,0,1,1e+06,0,0,3.75786774386549
"Shayne Whittington",1.57142857142857,1.71428571428571,0.428571428571429,0.142857142857143,0.142857142857143,-0.714285714285714,7,845059,-0.857142857142857,-0.142857142857143,1.66046757091887
"Alex Stepheson",0.5,0.5,0,0,0.5,0,4,61776,0,-0.5,0.608819326787934
"Blake Griffin",21.4,8.4,4.85714285714286,0.8,0.485714285714286,-2.37142857142857,35,18907725,-8.62857142857143,-1.51428571428571,18.5866258081462
"Branden Dawson",0.833333333333333,0.666666666666667,0,0,0.166666666666667,0,6,525093,-0.5,0,0.782459064232693
"Luc Mbah a Moute",3.08,2.28,0.4,0.586666666666667,0.253333333333333,-0.453333333333333,75,1270964,-1.50666666666667,-0.36,2.95189818780363
"Brandon Bass",7.16666666666667,4.31818181818182,1.12121212121212,0.5,0.833333333333333,-0.636363636363636,66,3e+06,-2.16666666666667,-0.348484848484849,7.02304172200723
"Julius Randle",11.3456790123457,10.2345679012346,1.77777777777778,0.654320987654321,0.358024691358025,-1.83950617283951,81,3132240,-5.88888888888889,-0.950617283950617,11.3772890435114
"Larry Nance Jr.",5.53968253968254,4.95238095238095,0.698412698412698,0.857142857142857,0.365079365079365,-0.650793650793651,63,1155600,-2.25396825396825,-0.238095238095238,5.79374391601039
"Ryan Kelly",4.22222222222222,3.36111111111111,0.555555555555556,0.361111111111111,0.277777777777778,-0.5,36,1724250,-2.61111111111111,-0.472222222222222,3.93207559959119
"Brandan Wright",6.91666666666667,3.58333333333333,0.5,0.416666666666667,1.25,-0.833333333333333,12,5500000,-1.41666666666667,-0.916666666666667,6.70816263617629
"JaMychal Green",7.41025641025641,4.78205128205128,0.858974358974359,0.58974358974359,0.423076923076923,-1.06410256410256,78,845059,-3.3974358974359,-0.435897435897436,6.88823809831198
"Jarell Martin",5.66666666666667,3.18518518518519,0.555555555555556,0.296296296296296,0.259259259259259,-0.703703703703704,27,1230840,-2.2962962962963,-0.62962962962963,5.17739459522961
"Zach Randolph",15.2941176470588,7.77941176470588,2.08823529411765,0.632352941176471,0.191176470588235,-1.54411764705882,68,9638555,-7,-0.647058823529412,13.5026610247951
"Chris Bosh",19.0566037735849,7.35849056603774,2.41509433962264,0.679245283018868,0.641509433962264,-1.47169811320755,53,22192730,-7.71698113207547,-1.0377358490566,16.338883002283
"Josh McRoberts",3.57142857142857,2.5,1.92857142857143,0.428571428571429,0.166666666666667,-0.714285714285714,42,5543725,-2.21428571428571,-0.285714285714286,3.35405673820992
"Luol Deng",12.3108108108108,5.98648648648649,1.89189189189189,1,0.391891891891892,-1.09459459459459,74,10151612,-5.48648648648649,-0.635135135135135,10.8822492074604
"Udonis Haslem",1.59459459459459,2.02702702702703,0.378378378378378,0.135135135135135,0.0540540540540541,-0.135135135135135,37,2854940,-1.02702702702703,-0.108108108108108,1.77244507837231
"Jabari Parker",14.0789473684211,5.19736842105263,1.71052631578947,0.907894736842105,0.381578947368421,-1.52631578947368,76,5152440,-6,-0.697368421052632,11.8514198986041
"Johnny O'Bryant",3.03030303030303,2.66666666666667,0.484848484848485,0.272727272727273,0.121212121212121,-0.46969696969697,66,845059,-1.86363636363636,-0.196969696969697,2.92270113912226
"Steve Novak",2.33333333333333,0.333333333333333,0,0,0,0,3,416886,-1.33333333333333,0,1.63454652595604
"Adreian Payne",2.53846153846154,2.13461538461538,0.557692307692308,0.307692307692308,0.211538461538462,-0.692307692307692,52,1938840,-1.76923076923077,-0.173076923076923,2.3409167351014
"Greg Smith",2.38888888888889,2.33333333333333,0.333333333333333,0.222222222222222,0.0555555555555556,-0.388888888888889,18,247623,-0.777777777777778,-0.555555555555556,2.60715679178792
